Station;Date;LAT;LON;Site_name;family
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Fabaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Fabaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Geraniaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Geraniaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Geraniaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Geraniaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Geraniaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Geraniaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Geraniaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Geraniaceae
"PIST5 Maatarka";"2013-05-06 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Geraniaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Geraniaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Illecebraceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Illecebraceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Illecebraceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Illecebraceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Illecebraceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Illecebraceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Illecebraceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Illecebraceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Illecebraceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Illecebraceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Illecebraceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Illecebraceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Illecebraceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Illecebraceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Illecebraceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Illecebraceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Illecebraceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Illecebraceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Illecebraceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Illecebraceae
"PEST5 Maatarka";"2013-05-07 00:00:00.000";33.23298;-2.74498;"PEST5 Maatarka";Illecebraceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Illecebraceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Illecebraceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Illecebraceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Illecebraceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Illecebraceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Illecebraceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Illecebraceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Illecebraceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Lamiaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Lamiaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Lamiaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Lamiaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Lamiaceae
"PEST5 Maatarka";"2013-05-07 00:00:00.000";33.23298;-2.74498;"PEST5 Maatarka";Lamiaceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Lamiaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Lamiaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Lamiaceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Lamiaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Lamiaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Malvaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Malvaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Malvaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Malvaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Malvaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Malvaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Malvaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Malvaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Malvaceae
"PIST5 Maatarka";"2013-05-06 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Malvaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Malvaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Papaveraceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Papaveraceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Plantaginaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Plantaginaceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Plantaginaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Plantaginaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Plantaginaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Plantaginaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Plantaginaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Plantaginaceae
"PEST5 Maatarka";"2013-05-07 00:00:00.000";33.23298;-2.74498;"PEST5 Maatarka";Plantaginaceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Plantaginaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Plantaginaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Plantaginaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Plantaginaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Plantaginaceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Plantaginaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Plantaginaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Plantaginaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Plantaginaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Plantaginaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Plantaginaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST5 Maatarka";"2013-05-06 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST5 Maatarka";"2013-05-06 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PEST1 Maatarka";"2013-05-07 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST5 Maatarka";"2013-05-07 00:00:00.000";33.23298;-2.74498;"PEST5 Maatarka";Poaceae
"PIST2 Maatarka";"2012-05-21 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2012-05-02 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Poaceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST4 Maatarka";"2013-05-07 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PEST2 Maatarka";"2013-05-06 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PEST4 Maatarka";"2012-05-03 00:00:00.000";33.24786;-2.73128;"PEST4 Maatarka";Poaceae
"PIST4 Maatarka";"2013-05-06 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST1 Maatarka";"2013-05-06 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Poaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Poaceae
"PIST5 Maatarka";"2013-05-06 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST3 Maatarka";"2013-05-07 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
Tendrara;"2012-05-14 00:00:00.000";33.08804;-1.98884;;Poaceae
"PIST1 Maatarka";"2012-05-02 00:00:00.000";33.25749;-2.72370;"PIST1 Maatarka";Poaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Poaceae
"PIST5 Maatarka";"2012-05-02 00:00:00.000";33.24731;-2.72851;"PIST5 Maatarka";Poaceae
"PEST3 Maatarka";"2012-05-03 00:00:00.000";33.21395;-2.78115;"PEST3 Maatarka";Poaceae
"PEST1 Maatarka";"2012-05-03 00:00:00.000";33.23939;-2.74390;"PEST1 Maatarka";Primulaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Ranunculaceae
"PIST2 Maatarka";"2013-05-06 00:00:00.000";33.25630;-2.72885;"PIST2 Maatarka";Thymelaeaceae
"PIST4 Maatarka";"2012-05-02 00:00:00.000";33.25535;-2.72255;"PIST4 Maatarka";Zygophyllaceae
"PEST2 Maatarka";"2012-05-03 00:00:00.000";33.25857;-2.73322;"PEST2 Maatarka";Zygophyllaceae
"PIST3 Maatarka";"2013-05-06 00:00:00.000";33.25619;-2.73259;"PIST3 Maatarka";Zygophyllaceae
